relation,query,answer,word1,word2
capital-coutry,Berlin,Germany,Canberra,Australia
capital-coutry,Berlin,Germany,Hanoi,Vietnam
capital-coutry,Berlin,Germany,Havana,Cuba
capital-coutry,Berlin,Germany,Helsinki,Finland
capital-coutry,Berlin,Germany,Islamabad,Pakistan
capital-coutry,Berlin,Germany,Kabul,Afghanistan
capital-coutry,Berlin,Germany,London,England
capital-coutry,Berlin,Germany,Madrid,Spain
capital-coutry,Berlin,Germany,Moscow,Russia
capital-coutry,Berlin,Germany,Oslo,Norway
capital-coutry,Berlin,Germany,Ottawa,Canada
capital-coutry,Berlin,Germany,Paris,France
capital-coutry,Berlin,Germany,Rome,Italy
capital-coutry,Berlin,Germany,Stockholm,Sweden
capital-coutry,Berlin,Germany,Tehran,Iran
capital-coutry,Berlin,Germany,Tokyo,Japan
capital-coutry,Berlin,Germany,Athens,Greece
capital-coutry,Berlin,Germany,Baghdad,Iraq
capital-coutry,Berlin,Germany,Bangkok,Thailand
capital-coutry,Berlin,Germany,Beijing,China
capital-coutry,Bern,Switzerland,Cairo,Egypt
capital-coutry,Bern,Switzerland,Canberra,Australia
capital-coutry,Bern,Switzerland,Hanoi,Vietnam
capital-coutry,Bern,Switzerland,Havana,Cuba
capital-coutry,Bern,Switzerland,Helsinki,Finland
capital-coutry,Bern,Switzerland,Islamabad,Pakistan
capital-coutry,Bern,Switzerland,Kabul,Afghanistan
capital-coutry,Bern,Switzerland,London,England
capital-coutry,Bern,Switzerland,Madrid,Spain
capital-coutry,Bern,Switzerland,Moscow,Russia
capital-coutry,Bern,Switzerland,Oslo,Norway
capital-coutry,Bern,Switzerland,Ottawa,Canada
capital-coutry,Bern,Switzerland,Paris,France
capital-coutry,Bern,Switzerland,Rome,Italy
capital-coutry,Bern,Switzerland,Stockholm,Sweden
capital-coutry,Bern,Switzerland,Tehran,Iran
capital-coutry,Bern,Switzerland,Tokyo,Japan
capital-coutry,Bern,Switzerland,Athens,Greece
capital-coutry,Bern,Switzerland,Baghdad,Iraq
capital-coutry,Bern,Switzerland,Bangkok,Thailand
capital-coutry,Bern,Switzerland,Beijing,China
capital-coutry,Bern,Switzerland,Berlin,Germany
capital-coutry,Cairo,Egypt,Canberra,Australia
capital-coutry,Cairo,Egypt,Hanoi,Vietnam
capital-coutry,Cairo,Egypt,Havana,Cuba
capital-coutry,Cairo,Egypt,Helsinki,Finland
capital-coutry,Cairo,Egypt,Islamabad,Pakistan
capital-coutry,Cairo,Egypt,Kabul,Afghanistan
capital-coutry,Cairo,Egypt,London,England
capital-coutry,Cairo,Egypt,Madrid,Spain
capital-coutry,Cairo,Egypt,Moscow,Russia
capital-coutry,Cairo,Egypt,Oslo,Norway
capital-coutry,Cairo,Egypt,Ottawa,Canada
capital-coutry,Cairo,Egypt,Paris,France
capital-coutry,Cairo,Egypt,Rome,Italy
capital-coutry,Cairo,Egypt,Stockholm,Sweden
capital-coutry,Cairo,Egypt,Tehran,Iran
capital-coutry,Cairo,Egypt,Tokyo,Japan
capital-coutry,Cairo,Egypt,Athens,Greece
capital-coutry,Cairo,Egypt,Baghdad,Iraq
capital-coutry,Cairo,Egypt,Bangkok,Thailand
capital-coutry,Cairo,Egypt,Beijing,China
capital-coutry,Cairo,Egypt,Berlin,Germany
capital-coutry,Cairo,Egypt,Bern,Switzerland
capital-coutry,Canberra,Australia,Hanoi,Vietnam
capital-coutry,Canberra,Australia,Havana,Cuba
capital-coutry,Canberra,Australia,Helsinki,Finland
capital-coutry,Canberra,Australia,Islamabad,Pakistan
capital-coutry,Canberra,Australia,Kabul,Afghanistan
capital-coutry,Canberra,Australia,London,England
capital-coutry,Canberra,Australia,Madrid,Spain
capital-coutry,Canberra,Australia,Moscow,Russia
capital-coutry,Canberra,Australia,Oslo,Norway
capital-coutry,Canberra,Australia,Ottawa,Canada
capital-coutry,Canberra,Australia,Paris,France
capital-coutry,Canberra,Australia,Rome,Italy
